titles,years,ratings,location,variety
Margerum 2016 Riviera Rosé (Santa Barbara County),2016,91,Central Coast,Rosé
Fess Parker 2014 Pommard Clone Pinot Noir (Sta. Rita Hills),2014,91,Central Coast,Pinot Noir
Tower 15 2015 The White Cap White (Santa Barbara County),2015,91,Central Coast,Rhône-style White Blend
Santa Barbara Winery 2013 Curtis Vineyards Petit Verdot (Santa Ynez Valley),2013,91,Central Coast,Petit Verdot
Martin Ranch 2013 Thérèse Vineyards Lester Family Vineyards Syrah (Santa Cruz Mountains),2013,91,Central Coast,Syrah
Cottonwood Canyon 2012 Sharen's Vineyard Pinot Noir (Santa Maria Valley),2012,91,Central Coast,Pinot Noir
Fess Parker 2014 Ashley's Vineyard Pinot Noir (Sta. Rita Hills),2014,91,Central Coast,Pinot Noir
Foxen 7200 2014 Los Potreros Cabernet Sauvignon (Happy Canyon of Santa Barbara),7200,91,Central Coast,Cabernet Sauvignon
Silver Mountain 2013 Tondre's Grapefield Pinot Noir (Santa Lucia Highlands),2013,91,Central Coast,Pinot Noir
Samuel Louis Smith 2014 Lafond Vineyard Syrah (Sta. Rita Hills),2014,91,Central Coast,Syrah
Sculpterra 2015 Primitivo (Paso Robles),2015,90,Central Coast,"Primitivo, Zinfandel"
Ampelos 2013 Ampelos Vineyard Syrah (Sta. Rita Hills),2013,90,Central Coast,Syrah
Occasio 2015 Del Arroyo Vineyard Chardonnay (Livermore Valley),2015,90,Central Coast,Chardonnay
Écluse 2014 Rendition Red (Paso Robles),2014,90,Central Coast,Rhône-style Red Blend
Challen 2014 Scarlett Pinot Noir (Sta. Rita Hills),2014,90,Central Coast,Pinot Noir
Ascencion 2014 Mayhem Syrah (Paso Robles),2014,90,Central Coast,Syrah
Stolo 2016 Rosé of Pinot Noir (San Luis Obispo),2016,90,Central Coast,Pinot Noir
Testarossa 2015 Fogstone Vineyard Chardonnay (Santa Lucia Highlands),2015,90,Central Coast,Chardonnay
Sarah's Vineyard 2015 Chardonnay (Santa Cruz Mountains),2015,90,Central Coast,Chardonnay
Roar 2015 Pinot Noir (Santa Lucia Highlands),2015,90,Central Coast,Pinot Noir
Cass 2014 Rockin' One Red (Paso Robles),2014,90,Central Coast,Rhône-style Red Blend
Écluse 2014 Ensemble Red (Paso Robles),2014,90,Central Coast,Bordeaux-style Red Blend
Sevtap 2013 Mediterranean Nights Sparkling (Happy Canyon of Santa Barbara),2013,90,Central Coast,"Sparkling Blend, Sparkling"
Lafond 2013 Lafond Vineyard Chardonnay (Sta. Rita Hills),2013,90,Central Coast,Chardonnay
Lone Madrone 2013 The Will Red (Paso Robles Willow Creek District),2013,90,Central Coast,"Red Blends, Red Blends"
Le Vigne 2014 Di Domenico Sangiovese (Paso Robles),2014,90,Central Coast,Sangiovese
Écluse 2014 Petite Sirah (Paso Robles),2014,90,Central Coast,Petite Sirah
McClean 2015 Simone Zinfandel (Central Coast),2015,90,Central Coast,Zinfandel
Lone Madrone 2012 Old Hat Red (Paso Robles),2012,90,Central Coast,"Red Blends, Red Blends"
Lone Madrone 2013 Points West Red (Paso Robles),2013,90,Central Coast,Rhône-style Red Blend
Lone Madrone 2014 Points West White (Paso Robles),2014,90,Central Coast,Rhône-style White Blend
Seven Angels 2013 Petite Sirah (Paso Robles),2013,90,Central Coast,Petite Sirah
Maddalena 2015 Zinfandel (Paso Robles),2015,90,Central Coast,Zinfandel
Lone Madrone 2014 La Mezcla Roja Red (Paso Robles),2014,90,Central Coast,"Red Blends, Red Blends"
Rexford 2013 Regan Vineyards Merlot (Santa Cruz Mountains),2013,90,Central Coast,Merlot
Verdad 2014 Sawyer Lindquist Vineyard Tempranillo (Edna Valley),2014,90,Central Coast,Tempranillo
Buttonwood Farm 2016 Rosé of Syrah (Santa Ynez Valley),2016,90,Central Coast,Syrah
Fess Parker 2014 Syrah (Santa Barbara County),2014,90,Central Coast,Syrah
Testarossa 2015 Dos Rubios Vineyard Pinot Noir (Santa Lucia Highlands),2015,90,Central Coast,Pinot Noir
Testarossa 2015 La Rinconada Vineyard Pinot Noir (Sta. Rita Hills),2015,90,Central Coast,Pinot Noir
Santa Barbara Winery 2015 Chardonnay (Santa Barbara County),2015,89,Central Coast,Chardonnay
Calera 2015 Fortieth Anniversary Vintage Viognier (Mt. Harlan),2015,89,Central Coast,Viognier
Epiphany 2014 Rodney's Vineyard Petite Sirah (Santa Barbara County),2014,89,Central Coast,Petite Sirah
Koehler 2013 Pinot Noir (Sta. Rita Hills),2013,89,Central Coast,Pinot Noir
Cottonwood Canyon 2013 Patience Syrah (Santa Maria Valley),2013,89,Central Coast,Syrah
Proulx 2016 Willow Creek Farm Rosé of Mission (Paso Robles),2016,89,Central Coast,"Mission, Other Red"
Seven Angels 2014 Unorthodox White (Central Coast),2014,89,Central Coast,Rhône-style White Blend
The Big Easy 2014 Red (Santa Barbara County),2014,89,Central Coast,"Red Blends, Red Blends"
Chronic Cellars 2016 Pink Pedals Rosé (Paso Robles),2016,89,Central Coast,Rosé
Las Positas 2013 Estate Barbera (Livermore Valley),2013,89,Central Coast,Barbera
Testarossa 2015 Lone Oak Vineyard Chardonnay (Santa Lucia Highlands),2015,89,Central Coast,Chardonnay
San Simeon 2016 Sauvignon Blanc (Paso Robles),2016,89,Central Coast,Sauvignon Blanc
Robert Hall 2016 Sauvignon Blanc (Paso Robles),2016,89,Central Coast,Sauvignon Blanc
Fossil Point 2016 Rosé (Central Coast),2016,89,Central Coast,Rosé
Koehler 2014 Chardonnay (Santa Ynez Valley),2014,89,Central Coast,Chardonnay
Proulx 2016 Resistance Willow Creek Farm Rosé (Paso Robles),2016,89,Central Coast,Rosé
Lone Madrone 2014 Sheep Camp Zinfandel (Paso Robles Willow Creek District),2014,89,Central Coast,Zinfandel
South Mountain 2015 Rincon Point Vineyard Pinot Noir (Santa Barbara County),2015,89,Central Coast,Pinot Noir
Cottonwood Canyon 2015 Barrel Select Chardonnay (Santa Maria Valley),2015,89,Central Coast,Chardonnay
Demetria 2016 Rosé (Santa Ynez Valley),2016,88,Central Coast,Rosé
Pianetta 2014 Zinfandel (Paso Robles),2014,88,Central Coast,Zinfandel
Cottonwood Canyon 2012 Bistro Red (Santa Maria Valley),2012,88,Central Coast,"Red Blends, Red Blends"
Center of Effort 2016 Rosé of Pinot Noir (Edna Valley),2016,88,Central Coast,Pinot Noir
Sculpterra 2014 Maquette Red (Paso Robles),2014,88,Central Coast,Bordeaux-style Red Blend
Testarossa 2015 Pinot Noir (Sta. Rita Hills),2015,88,Central Coast,Pinot Noir
Tangent 2014 Paragon Vineyard Viognier (Edna Valley),2014,88,Central Coast,Viognier
Grey Wolf Cellars 2014 Grenache (Paso Robles),2014,88,Central Coast,Grenache
Harmony Cellars 2015 Chardonnay (Central Coast),2015,88,Central Coast,Chardonnay
Fossil Point 2015 Chardonnay (Central Coast),2015,88,Central Coast,Chardonnay
Babcock 2015 Chardonnay (Sta. Rita Hills),2015,88,Central Coast,Chardonnay
Barton 2016 Soul Mate Rosé (Paso Robles),2016,88,Central Coast,Rosé
Grey Wolf Cellars 2014 Zinfandel (Paso Robles),2014,88,Central Coast,Zinfandel
Calera 2016 Vin Gris of Pinot Noir (Central Coast),2016,88,Central Coast,Pinot Noir
Cima Collina 2015 Cholame Vineyard Tempranillo (Monterey County),2015,88,Central Coast,Tempranillo
Margerum 2015 Sybarite Sauvignon Blanc (Happy Canyon of Santa Barbara),2015,88,Central Coast,Sauvignon Blanc
Morgan 2015 Cotes du Crow's Red (Monterey County),2015,88,Central Coast,Rhône-style Red Blend
Whalebone 2013 Bob Wine Red (Paso Robles),2013,88,Central Coast,"Red Blends, Red Blends"
Lone Madrone 2014 Bailey Ranch Zinfandel (Adelaida District),2014,88,Central Coast,Zinfandel
Barton 2014 Cabernet Sauvignon (Central Coast),2014,88,Central Coast,Cabernet Sauvignon
Derby 2013 Fifteen 10 White (Paso Robles),2013,88,Central Coast,Rhône-style White Blend
Cloak & Dagger 2014 Illuminatus Sangiovese (Paso Robles),2014,88,Central Coast,Sangiovese
Fess Parker 2014 Pinot Noir (Sta. Rita Hills),2014,88,Central Coast,Pinot Noir
Chalone 2012 Estate Grown Grenache (Chalone),2012,88,Central Coast,Grenache
Demetria 2014 Cuvée Constantine Red (Santa Ynez Valley),2014,88,Central Coast,Rhône-style Red Blend
Epiphany 2014 Hampton Vineyard Syrah (Santa Barbara County),2014,88,Central Coast,Syrah
Fossil Point 2015 Pinot Noir (Edna Valley),2015,88,Central Coast,Pinot Noir
Tablas Creek 2016 Patelin de Tablas Rosé (Paso Robles),2016,88,Central Coast,Rosé
Lafond 2014 Musque Clone Lafond Vineyard Chardonnay (Sta. Rita Hills),2014,88,Central Coast,Chardonnay
Le Vigne 2014 Nikiara Red (Paso Robles),2014,88,Central Coast,Bordeaux-style Red Blend
Silver Mountain 2013 Estate Bottled Chardonnay (Santa Cruz Mountains),2013,88,Central Coast,Chardonnay
Le Vigne 2014 Di Ranchita Vista Cabernet Franc (Paso Robles),2014,88,Central Coast,Cabernet Franc
Le Vigne 2014 Cuore Della Vigna Red (Paso Robles),2014,88,Central Coast,"Red Blends, Red Blends"
Carol Shelton 2015 Coquille Blanc White (Paso Robles),2015,88,Central Coast,Rhône-style White Blend
Last Light 2015 Spanish Springs Vineyard Chardonnay (San Luis Obispo County),2015,88,Central Coast,Chardonnay
Rock Wall 2014 Pearl Hart Zinfandel (Contra Costa County),2014,88,Central Coast,Zinfandel
Santa Barbara Winery 2013 Thompson Vineyard Petite Sirah (Santa Ynez Valley),2013,88,Central Coast,Petite Sirah
Sevtap 2013 My Love Cabernet Sauvignon (Happy Canyon of Santa Barbara),2013,88,Central Coast,Cabernet Sauvignon
Derby 2012 Project Espana Red Derby Vineyard Red (Paso Robles),2012,88,Central Coast,"Red Blends, Red Blends"
Clos des Amis 2015 South Mountain Vineyard Petit Verdot (Ventura County),2015,88,Central Coast,Petit Verdot
Sarzotti 2014 Zinfandel (Paso Robles),2014,87,Central Coast,Zinfandel
Cass 2015 Viognier (Paso Robles),2015,87,Central Coast,Viognier
Derby 2015 Derby VIneyard Rosé (Paso Robles),2015,87,Central Coast,Rosé
Lone Madrone 2014 Zinfandel (Adelaida District),2014,87,Central Coast,Zinfandel
Center of Effort 2015 Pinot Noir (Edna Valley),2015,87,Central Coast,Pinot Noir
Proulx 2016 Willow Creek Farm Rosé of Grenache (Paso Robles),2016,87,Central Coast,Grenache
Sarzotti 2014 Cabernet Franc (Paso Robles),2014,87,Central Coast,Cabernet Franc
Ascension Cellars 2014 Trinity Red (Paso Robles),2014,87,Central Coast,Rhône-style Red Blend
Sarah's Vineyard 2014 Chardonnay (Santa Clara Valley),2014,87,Central Coast,Chardonnay
Cass 2016 Mr. Blanc White (Paso Robles),2016,87,Central Coast,Rhône-style White Blend
MCV 2016 Pink Rosé (Paso Robles),2016,87,Central Coast,Rosé
Santa Barbara Winery 2014 Pinot Noir (Sta. Rita Hills),2014,87,Central Coast,Pinot Noir
Layer Cake 2016 Rosé of Pinot Noir (Central Coast),2016,87,Central Coast,Pinot Noir
Fess Parker 2014 Older Barrels Pinot Noir (Sta. Rita Hills),2014,87,Central Coast,Pinot Noir
Demetria 2014 Chardonnay (Santa Barbara County),2014,86,Central Coast,Chardonnay
Sculpterra 2015 Viognier (Paso Robles),2015,86,Central Coast,Viognier
Sola 2015 Chardonnay (Paso Robles),2015,86,Central Coast,Chardonnay
Devil's Advocate 2014 One Hundred Percent Red (Paso Robles),2014,86,Central Coast,"Red Blends, Red Blends"
Las Palmeras 2014 Chardonnay (Monterey County),2014,86,Central Coast,Chardonnay
Clos des Amis 2016 Rosé (Ventura County),2016,86,Central Coast,Rosé
Las Positas 2015 Estate Chardonnay (Livermore Valley),2015,86,Central Coast,Chardonnay
Clos des Amis 2015 Olivelands Vineyards Chardonnay (Ventura County),2015,86,Central Coast,Chardonnay
Ascension Cellars 2016 Siren Rosé (Paso Robles),2016,86,Central Coast,Rosé
Ascension Cellars 2015 Silver White (Paso Robles),2015,86,Central Coast,White Blend
Sevtap 2013 Shark Bait Petit Verdot (Happy Canyon of Santa Barbara),2013,86,Central Coast,Petit Verdot
Martin Ranch 2014 Dos Ninas Vineyard Therese Vineyards Sangiovese (Santa Clara Valley),2014,86,Central Coast,Sangiovese
Las Palmeras 2014 Red (Monterey County),2014,83,Central Coast,"Red Blends, Red Blends"
Clos de la Tech 2012 Domaine Du Docteur Rodgers Pinot Noir (Santa Cruz Mountains),2012,96,Central Coast,Pinot Noir
Dragonette 2013 MJM Syrah (Santa Ynez Valley),2013,95,Central Coast,Syrah
Big Basin 2014 Coast Grade Vineyard Pinot Noir (Ben Lomond Mountain),2014,95,Central Coast,Pinot Noir
Big Basin 2014 Lester Family Vineyard Pinot Noir (Santa Cruz Mountains),2014,95,Central Coast,Pinot Noir
Clos de la Tech 2012 Domaine Lois Louise Cote Sud Pinot Noir (Santa Cruz Mountains),2012,95,Central Coast,Pinot Noir
Parrish Family 2014 Clone 6 Cabernet Sauvignon (Paso Robles),2014,94,Central Coast,Cabernet Sauvignon
Nicora 2014 Law Vineyard Red (Adelaida District),2014,94,Central Coast,Rhône-style Red Blend
Challen 2013 Bentrock Vineyard Pinot Noir (Sta. Rita Hills),2013,94,Central Coast,Pinot Noir
Sawyer & Lindquist 2014 Pinot Noir (Edna Valley),2014,94,Central Coast,Pinot Noir
Clos de la Tech 2012 Santa Cruz Mountains Estates Pinot Noir (Santa Cruz Mountains),2012,94,Central Coast,Pinot Noir
Babcock 2014 Slice of Heaven Rita's Crown Vineyard Pinot Noir (Sta. Rita Hills),2014,94,Central Coast,Pinot Noir
Nicora 2014 Russell Family Vineyard Red (Paso Robles Willow Creek District),2014,94,Central Coast,Rhône-style Red Blend
Clos de la Tech 2012 Domaine Lois Louise Twisty Ridge Pinot Noir (Santa Cruz Mountains),2012,94,Central Coast,Pinot Noir
Big Basin 2014 Coastview Vineyard Pinot Noir (Monterey County),2014,93,Central Coast,Pinot Noir
Law 2013 Prima Mourvèdre (Paso Robles),2013,93,Central Coast,Mourvèdre
Dragonette 2014 Seven Syrah (Santa Ynez Valley),2014,93,Central Coast,Syrah
Testarossa 2015 Rosemary's Vineyard Pinot Noir (Arroyo Grande Valley),2015,93,Central Coast,Pinot Noir
J. Lohr 2013 Signature Cabernet Sauvignon (Paso Robles),2013,93,Central Coast,Cabernet Sauvignon
Testarossa 2015 Dos Rubios Vineyard Chardonnay (Santa Lucia Highlands),2015,93,Central Coast,Chardonnay
Testarossa 2015 Rosella's Vineyard Chardonnay (Santa Lucia Highlands),2015,93,Central Coast,Chardonnay
Testarossa 2015 Tondre Grapefield Pinot Noir (Santa Lucia Highlands),2015,93,Central Coast,Pinot Noir
Chamisal Vineyards 2014 Califa Chardonnay (Edna Valley),2014,93,Central Coast,Chardonnay
Nicora 2014 Buxom Syrah (Central Coast),2014,93,Central Coast,Syrah
Solomon Hills 2013 Pinot Noir (Santa Maria Valley),2013,93,Central Coast,Pinot Noir
Tolosa 2015 Primera Edna Ranch Pinot Noir (Edna Valley),2015,93,Central Coast,Pinot Noir
Big Basin 2014 Alfaro Family Vineyard Pinot Noir (Santa Cruz Mountains),2014,93,Central Coast,Pinot Noir
Dragonette 2014 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),2014,93,Central Coast,Pinot Noir
Big Basin 2014 Woodruff Family Vineyard Pinot Noir (Santa Cruz Mountains),2014,93,Central Coast,Pinot Noir
Clos de la Tech 2012 Domaine Valeta Sunny Slope Pinot Noir (Santa Cruz Mountains),2012,93,Central Coast,Pinot Noir
Bien Nacido 2013 Syrah (Santa Maria Valley),2013,92,Central Coast,Syrah
Verdad 2015 Sawyer Lindquist Vineyard Albariño (Edna Valley),2015,92,Central Coast,Albariño
Testarossa 2015 Sanford & Benedict Pinot Noir (Sta. Rita Hills),2015,92,Central Coast,Pinot Noir
Las Positas 2013 Estate Red (Livermore Valley),2013,92,Central Coast,"Red Blends, Red Blends"
Big Basin 2013 Grizzly Grenache (Santa Cruz Mountains),2013,92,Central Coast,Grenache
Big Basin 2014 Homestead Block Roussanne (Santa Cruz Mountains),2014,92,Central Coast,Roussanne
Testarossa 2013 Meritage (Santa Cruz Mountains),2013,92,Central Coast,"Meritage, Bordeaux-style Red Blend"
Testarossa 2015 Chardonnay (Sta. Rita Hills),2015,92,Central Coast,Chardonnay
Testarossa 2015 Soberanes Vineyard Chardonnay (Santa Lucia Highlands),2015,92,Central Coast,Chardonnay
Chamisal Vineyards 2014 Chamise Estate Grown Chardonnay (Edna Valley),2014,92,Central Coast,Chardonnay
Chamisal Vineyards 2014 Califa Pinot Noir (Edna Valley),2014,92,Central Coast,Pinot Noir
Dragonette 2014 Duvarita Vineyard Pinot Noir (Santa Barbara County),2014,92,Central Coast,Pinot Noir
Dragonette 2014 Pinot Noir (Sta. Rita Hills),2014,92,Central Coast,Pinot Noir
Law 2013 Intrepid Syrah (Paso Robles),2013,92,Central Coast,Syrah
Chamisal Vineyards 2014 Morrito Estate Grown Pinot Noir (Edna Valley),2014,92,Central Coast,Pinot Noir
Kathryn Kennedy 2014 Small Lot Cabernet Sauvignon (Santa Cruz Mountains),2014,92,Central Coast,Cabernet Sauvignon
Big Basin 2013 Old Corral Syrah (Santa Cruz Mountains),2013,92,Central Coast,Syrah
Stephen Ross 2014 Stone Corral Vineyard Pinot Noir (Edna Valley),2014,92,Central Coast,Pinot Noir
Martin Ranch 2010 Thérèse Vineyards Dos Niñas Vineyard Nebbiolo (Santa Clara Valley),2010,92,Central Coast,Nebbiolo
Foxen 7200 2014 Grassini Family Vineyard Cabernet Sauvignon (Happy Canyon of Santa Barbara),7200,92,Central Coast,Cabernet Sauvignon
Niner 2013 Square Root Heart Hill Vineyard Estate Grown Red (Paso Robles Willow Creek District),2013,92,Central Coast,Rhône-style Red Blend
Testarossa 2015 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),2015,91,Central Coast,Chardonnay
Testarossa 2015 Rincon Vineyard Chardonnay (Arroyo Grande Valley),2015,91,Central Coast,Chardonnay
Qupé 2013 Doux Sawyer Lindquist Vineyard Marsanne (Edna Valley),2013,91,Central Coast,Marsanne
Qupé 2013 Sawyer Lindquist Vineyard Grenache (Edna Valley),2013,91,Central Coast,Grenache
Le Vigne 2014 Di Domenico Cabernet Sauvignon (Paso Robles),2014,91,Central Coast,Cabernet Sauvignon
Big Basin 2014 Coastview Vineyard Chardonnay (Monterey County),2014,91,Central Coast,Chardonnay
Challen 2013 Scarlett Pinot Noir (Santa Maria Valley),2013,91,Central Coast,Pinot Noir
Dragonette 2014 Radian Vineyard Pinot Noir (Sta. Rita Hills),2014,91,Central Coast,Pinot Noir
Niner 2014 Estate Grown Cabernet Sauvignon (Paso Robles),2014,91,Central Coast,Cabernet Sauvignon
Le Vigne 2014 Di Domenico Grenache (Paso Robles),2014,91,Central Coast,Grenache
Testarossa 2015 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),2015,91,Central Coast,Pinot Noir
Tolosa 2015 Heritage Edna Ranch Pinot Noir (Edna Valley),2015,91,Central Coast,Pinot Noir
Workman Ayer 2014 De Facto Red (Santa Barbara County),2014,91,Central Coast,Rhône-style Red Blend
Testarossa 2015 La Encantada Vineyard Pinot Noir (Sta. Rita Hills),2015,91,Central Coast,Pinot Noir
Big Basin 2013 Rattlesnake Rock Syrah (Santa Cruz Mountains),2013,91,Central Coast,Syrah
Foxen 7200 2014 Range 30 West Red (Happy Canyon of Santa Barbara),7200,91,Central Coast,Bordeaux-style Red Blend
Zaca Mesa 2013 Z Cuvée Red (Santa Ynez Valley),2013,91,Central Coast,Rhône-style Red Blend
San Simeon 2013 Estate Reserve Cabernet Sauvignon (Paso Robles),2013,91,Central Coast,Cabernet Sauvignon
Niner 2014 Estate Grown Syrah (Paso Robles),2014,90,Central Coast,Syrah
Seven Oxen 2014 Cassidy Red (Paso Robles),2014,90,Central Coast,Rhône-style Red Blend
Chronic Cellars 2015 Stone Fox White (Paso Robles),2015,90,Central Coast,Rhône-style White Blend
Las Positas 2013 Coccineous Estate Red (Livermore Valley),2013,90,Central Coast,"Red Blends, Red Blends"
Brander 2014 Reserve Cabernet Sauvignon (Santa Ynez Valley),2014,90,Central Coast,Cabernet Sauvignon
Lafond 2015 SRH Chardonnay (Sta. Rita Hills),2015,90,Central Coast,Chardonnay
Ampelos 2013 Rho Pinot Noir (Sta. Rita Hills),2013,90,Central Coast,Pinot Noir
Testarossa 2015 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),2015,90,Central Coast,Pinot Noir
Brander 2015 Tierra Alta Vineyard Sauvignon Blanc (Ballard Canyon),2015,90,Central Coast,Sauvignon Blanc
Seven Oxen 2014 Mourvèdre (Paso Robles),2014,90,Central Coast,Mourvèdre
Testarossa 2015 Tondre Grapefield Chardonnay (Santa Lucia Highlands),2015,90,Central Coast,Chardonnay
Jaffurs 2014 Late Harvest Bien Nacido Vineyard Viognier (Santa Barbara County),2014,90,Central Coast,Viognier
Epiphany 2015 Camp Four Vineyard Grenache Blanc (Santa Barbara County),2015,90,Central Coast,"Grenache Blanc, Other White"
Cass 2014 Mourvèdre (Paso Robles),2014,89,Central Coast,Mourvèdre
Jekel 2015 Riesling (Monterey),2015,89,Central Coast,Riesling
Giornata 2015 Barbera (Paso Robles),2015,89,Central Coast,Barbera
Fenestra 2012 Estate Grenache (Livermore Valley),2012,89,Central Coast,Grenache
Testarossa 2015 Sierra Madre Vineyard Chardonnay (Santa Maria Valley),2015,89,Central Coast,Chardonnay
Chronic Cellars 2015 Purple Paradise Red (Paso Robles),2015,89,Central Coast,"Red Blends, Red Blends"
Qupé 2015 Sawyer Lindquist Vineyard Viognier (Edna Valley),2015,89,Central Coast,Viognier
Fenestra 2013 Estate Mourvèdre (Livermore Valley),2013,89,Central Coast,Mourvèdre
Broken Earth 2012 Petite Sirah (Paso Robles),2012,89,Central Coast,Petite Sirah
Broken Earth 2015 Grenache Blanc (Paso Robles),2015,89,Central Coast,"Grenache Blanc, Other White"
Broken Earth 2015 Albariño (Paso Robles),2015,89,Central Coast,Albariño
Estancia 2015 Pinot Noir (Monterey County),2015,89,Central Coast,Pinot Noir
Mallea 2015 Alondra de Los Prados Vineyard Syrah (Santa Barbara County),2015,89,Central Coast,Syrah
Chronic Cellars 2015 Sofa King Bueno Red (Paso Robles),2015,89,Central Coast,Rhône-style Red Blend
Soquel Vineyards 2015 Partners' Reserve Nelson Vineyard Chardonnay (Santa Cruz Mountains),2015,89,Central Coast,Chardonnay
Le Vigne 2014 Di Ranchita Vista Petite Sirah (Paso Robles),2014,89,Central Coast,Petite Sirah
Lucas & Lewellen 2014 Valley View Vineyard Cabernet Sauvignon (Santa Ynez Valley),2014,89,Central Coast,Cabernet Sauvignon
Santa Barbara Winery 2013 Lafond Vineyard Grenache (Sta. Rita Hills),2013,89,Central Coast,Grenache
Cass 2015 Roussanne (Paso Robles),2015,88,Central Coast,Roussanne
Arndt 2013 Merlot (Paso Robles),2013,88,Central Coast,Merlot
Cass 2013 Malbec (Paso Robles),2013,88,Central Coast,Malbec
Beckon 2015 Chardonnay (Central Coast),2015,88,Central Coast,Chardonnay
Le Vigne 2014 Di Domenico Tannat (Paso Robles),2014,88,Central Coast,"Tannat, Other Red"
Santa Barbara Winery 2015 Sauvignon Blanc (Santa Ynez Valley),2015,88,Central Coast,Sauvignon Blanc
Seven Oxen 2014 Tannat (Paso Robles),2014,88,Central Coast,"Tannat, Other Red"
Verdad 2014 Sawyer Lindquist Vineyard Garnacha (Edna Valley),2014,88,Central Coast,"Garnacha, Grenache"
Nicora 2014 Euphoric La Vista Vineyard Grenache (Adelaida District),2014,88,Central Coast,Grenache
Hunt Cellars 2014 Moonlight Sonata Chardonnay (Monterey County),2014,88,Central Coast,Chardonnay
Cass 2015 Oasis Rosé (Paso Robles),2015,88,Central Coast,Rosé
Le Mistral 2016 Single Vineyard Rose of Grenache (Monterey County),2016,88,Central Coast,Grenache
Robert Hall 2016 Margaret's Vineyard Orange Muscat (Paso Robles),2016,88,Central Coast,"Orange Muscat, Muscat"
Cass 2013 Cabernet Sauvignon (Paso Robles),2013,88,Central Coast,Cabernet Sauvignon
Eberle 2014 Cabernet Sauvignon (Paso Robles),2014,88,Central Coast,Cabernet Sauvignon
Écluse 2015 Prelude White (Paso Robles),2015,88,Central Coast,Rhône-style White Blend
Ancient Peaks 2014 Cabernet Sauvignon (Santa Margarita Ranch),2014,88,Central Coast,Cabernet Sauvignon
Arndt 2014 Marteau Rouge Red (Paso Robles),2014,88,Central Coast,"Red Blends, Red Blends"
Lucas & Lewellen 2016 Rose of Pinot Noir (Santa Barbara County),2016,88,Central Coast,Pinot Noir
Le Vigne 2014 Ame de la Vigne Red (Paso Robles),2014,88,Central Coast,Rhône-style Red Blend
Hunt Cellars 2014 Imagination Reserve Sebastianio Vineyards Pinot Noir (Sta. Rita Hills),2014,88,Central Coast,Pinot Noir
Foxen 7200 2014 Vogelzang Vineyard Cabernet Sauvignon (Happy Canyon of Santa Barbara),7200,88,Central Coast,Cabernet Sauvignon
Giornata 2015 Ramato Quattro Bassi Ranch Vineyard Pinot Grigio (San Luis Obispo),2015,88,Central Coast,Pinot Grigio
Cima Collina 2013 Tondre Grapefield Pinot Noir (Santa Lucia Highlands),2013,88,Central Coast,Pinot Noir
Migration 2014 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),2014,88,Central Coast,Pinot Noir
Fess Parker 2015 Marcella's White (Santa Barbara County),2015,88,Central Coast,Rhône-style White Blend
Le Mistral 2016 Jack McGinley Vineyard Viognier (Happy Canyon of Santa Barbara),2016,88,Central Coast,Viognier
Prospect 772 2015 Stepping Stones Grenache Blanc (Santa Barbara County),2015,88,Central Coast,"Grenache Blanc, Other White"
Rock Wall 2014 Rigg Vineyard Cabernet Sauvignon (San Francisco Bay),2014,88,Central Coast,Cabernet Sauvignon
Broken Earth 2015 Rose of Grenache (Paso Robles),2015,87,Central Coast,Grenache
Cupcake 2015 Pinot Noir (Central Coast),2015,87,Central Coast,Pinot Noir
Maddalena 2012 Merlot (Paso Robles),2012,87,Central Coast,Merlot
Testarossa 2014 Cuvée Los Gatos Rob's Red (Central Coast),2014,87,Central Coast,"Red Blends, Red Blends"
Maddalena 2012 Cabernet Sauvignon (Paso Robles),2012,87,Central Coast,Cabernet Sauvignon
Sandler 2015 Peterson Vineyard Pinot Noir (Santa Lucia Highlands),2015,87,Central Coast,Pinot Noir
La Honda Winery 2014 Exponent Red (Santa Cruz Mountains),2014,87,Central Coast,"Red Blends, Red Blends"
Vinum 2016 Rosé (Paso Robles),2016,86,Central Coast,Rosé
Cupcake 2015 Chardonnay (Monterey County),2015,86,Central Coast,Chardonnay
Folktale 2016 Rosé (Monterey County),2016,86,Central Coast,Rosé
Broken Earth 2012 Reserve Petit Verdot (Paso Robles),2012,86,Central Coast,Petit Verdot
Ampelos 2013 Lambda Pinot Noir (Sta. Rita Hills),2013,86,Central Coast,Pinot Noir
San Simeon 2013 Merlot (Paso Robles),2013,86,Central Coast,Merlot
Layer Cake 2015 Pinot Noir (Central Coast),2015,86,Central Coast,Pinot Noir
Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),2015,86,Central Coast,Sauvignon Blanc
San Simeon 2012 Estate Reserve Syrah (Paso Robles),2012,85,Central Coast,Syrah
Blacklist 2014 Cabernet Sauvignon (Paso Robles),2014,85,Central Coast,Cabernet Sauvignon
Stave & Steel 2015 Bourbon Barrel Aged Cabernet Sauvignon (Paso Robles),2015,85,Central Coast,Cabernet Sauvignon
Sevtap 2013 Ayla Late Harvest Viognier (Santa Ynez Valley),2013,84,Central Coast,Viognier
