titles,years,ratings,location,variety
Lion Ranch 2018 Lioness Rosé (Santa Clara Valley),2018,91,Central Coast,Rosé
Level 3 2016 Milestone Red (Paso Robles),2016,91,Central Coast,Rhône-style Red Blend
Lumen 2016 Grenache Blanc (Santa Barbara County),2016,91,Central Coast,"Grenache Blanc, Other White"
Graveyard 2017 Mortal Zin Zinfandel (Paso Robles),2017,91,Central Coast,Zinfandel
Kukkula 2018 Vaalea White (Adelaida District),2018,91,Central Coast,Rhône-style White Blend
Peachy Canyon 2017 Mustang Springs Zinfandel (Adelaida District),2017,91,Central Coast,Zinfandel
Sanguis 2016 Since You Asked Kindly Red (Central Coast),2016,91,Central Coast,"Red Blends, Red Blends"
Denner 2017 Viognier (Paso Robles Willow Creek District),2017,91,Central Coast,Viognier
Lumen 2016 Martian Ranch Vineyard Grenache (Santa Barbara County),2016,91,Central Coast,Grenache
Zotovich 2017 Syrah (Sta. Rita Hills),2017,91,Central Coast,Syrah
Testarossa 2016 Rosemary's Vineyard Pinot Noir (Arroyo Grande Valley),2016,91,Central Coast,Pinot Noir
Dante Robere 2016 Element 116 Red (Livermore Valley),2016,91,Central Coast,"Red Blends, Red Blends"
Justin 2016 Justification Red (Paso Robles),2016,91,Central Coast,Bordeaux-style Red Blend
Las Positas 2018 Estate Verdelho (Livermore Valley),2018,91,Central Coast,"Verdelho, Spanish White"
La Marea 2018 Kristy Vineyard Albariño (Monterey County),2018,91,Central Coast,Albariño
Qupé 2016 Y Block Chardonnay (Santa Barbara County),2016,91,Central Coast,Chardonnay
Reata 2017 Pedregal Vineyard Pinot Noir (San Benito),2017,91,Central Coast,Pinot Noir
Treana 2017 Cabernet Sauvignon (Paso Robles),2017,91,Central Coast,Cabernet Sauvignon
Brecon Estate 2017 Reserve Petite Sirah (Monterey),2017,91,Central Coast,Petite Sirah
Jalama 2016 La Presa Petite Sirah (Santa Ynez Valley),2016,91,Central Coast,Petite Sirah
J. Lohr 2016 South Ridge Syrah (Paso Robles),2016,91,Central Coast,Syrah
Brecon Estate 2018 True Acacia Head Albariño (Central Coast),2018,91,Central Coast,Albariño
Lion Ranch 2017 Cuvée Blanc White (Santa Clara Valley),2017,91,Central Coast,Rhône-style White Blend
Soquel Vineyards 2018 Lester Family Vineyard Partners' Reserve Chardonnay (Santa Cruz Mountains),2018,91,Central Coast,Chardonnay
Bonny Doon 2018 Le Cigare Blanc Cuvée Oumuamua White (Central Coast),2018,91,Central Coast,Rhône-style White Blend
Foxen 2017 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),2017,91,Central Coast,Pinot Noir
Lafond 2016 Martin Ray Clone Lafond Vineyard Pinot Noir (Sta. Rita Hills),2016,91,Central Coast,Pinot Noir
Mooney Family 2017 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),2017,91,Central Coast,Pinot Noir
Foxen 2017 Block 43 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),2017,91,Central Coast,Pinot Noir
Lumen 2017 Sierra Madre Vineyard Pinot Gris (Santa Maria Valley),2017,91,Central Coast,Pinot Gris
Grimm's Bluff 2015 Contango Cabernet Sauvignon (Happy Canyon of Santa Barbara),2015,91,Central Coast,Cabernet Sauvignon
Alta Colina 2018 Lynn's Cuvée Sparkling Grenache Blanc (Adelaida District),2018,91,Central Coast,"Grenache Blanc, Other White"
Oceano 2017 Spanish Springs Vineyard Chardonnay (San Luis Obispo County),2017,91,Central Coast,Chardonnay
Soquel Vineyards 2018 Lone Oak Vineyard Partners' Reserve Chardonnay (Santa Lucia Highlands),2018,91,Central Coast,Chardonnay
Anglim 2015 Grenache (Adelaida District),2015,90,Central Coast,Grenache
Dubost 2017 Syrah (Adelaida District),2017,90,Central Coast,Syrah
Albatross Ridge 2017 First Flight Chardonnay (Monterey),2017,90,Central Coast,Chardonnay
Tantara 2017 Dierberg Chardonnay (Santa Maria Valley),2017,90,Central Coast,Chardonnay
Brecon Estate 2016 Cabernet Franc (Adelaida District),2016,90,Central Coast,Cabernet Franc
Las Positas 2016 Estate Coccineous Red (Livermore Valley),2016,90,Central Coast,"Red Blends, Red Blends"
Sanguis 2017 Superleggera No. 7 Rosé (Central Coast),2017,90,Central Coast,Rosé
Sevtap 2017 Autumn Claret (Santa Ynez Valley),2017,90,Central Coast,"Claret, Bordeaux-style Red Blend"
The Insider 2017 Cabernet Sauvignon (Paso Robles),2017,90,Central Coast,Cabernet Sauvignon
Purple Dragon 2017 Tres Ninos Zinfandel (Arroyo Grande Valley),2017,90,Central Coast,Zinfandel
Lafond 2016 Lafond Vineyard Pinot Noir (Sta. Rita Hills),2016,90,Central Coast,Pinot Noir
Entropy Cellars 2016 Cabernet Sauvignon (Livermore Valley),2016,90,Central Coast,Cabernet Sauvignon
Peachy Canyon 2017 Classic Petite Sirah (Paso Robles),2017,90,Central Coast,Petite Sirah
Site 2016 Stolpman Vineyards Roussanne (Ballard Canyon),2016,90,Central Coast,Roussanne
Westgate 2017 Curtis Vineyard Cabernet Franc (Santa Ynez Valley),2017,90,Central Coast,Cabernet Franc
Kukkula 2016 Pas de Deux Red (Adelaida District),2016,90,Central Coast,Rhône-style Red Blend
Donati Family Vineyard 2016 Cabernet Franc (Paicines),2016,90,Central Coast,Cabernet Franc
Pinot Society 2017 The Tumult Pinot Noir (Santa Barbara County),2017,90,Central Coast,Pinot Noir
Alara 2018 Grenache Blanc (San Benito County),2018,90,Central Coast,"Grenache Blanc, Other White"
Bridlewood 2016 Zinfandel (Santa Ynez Valley),2016,90,Central Coast,Zinfandel
Anglim 2017 Hastings Ranch Vineyard Viognier (Adelaida District),2017,90,Central Coast,Viognier
Brecon Estate 2017 Grenache (Adelaida District),2017,90,Central Coast,Grenache
William Hill Estate 2016 Pinot Noir (Central Coast),2016,90,Central Coast,Pinot Noir
Dunites 2018 Oliver's Vineyard Chardonnay (Edna Valley),2018,90,Central Coast,Chardonnay
Castoro Cellars 2017 Whale Rock Vineyard Reserve Tempranillo (Paso Robles),2017,90,Central Coast,Tempranillo
Longoria 2017 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills),2017,90,Central Coast,Pinot Noir
Lafond 2016 Clone 777 Lafond Vineyard Pinot Noir (Sta. Rita Hills),2016,90,Central Coast,Pinot Noir
Thacher 2016 Zinfandel (Paso Robles),2016,89,Central Coast,Zinfandel
Diamond Hitch 2017 Cabernet Sauvignon (Paso Robles),2017,89,Central Coast,Cabernet Sauvignon
Peachy Canyon 2017 Especial Zinfandel (Adelaida District),2017,89,Central Coast,Zinfandel
Republic of Pink 2018 Rosé (Central Coast),2018,89,Central Coast,Rosé
Testarossa 2016 Cuvée Los Gatos Rob's Red (Central Coast),2016,89,Central Coast,"Red Blends, Red Blends"
Bruliam 2016 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),2016,89,Central Coast,Pinot Noir
Tantara 2017 Bentrock Vineyard Pinot Noir (Sta. Rita Hills),2017,89,Central Coast,Pinot Noir
Testarossa 2016 Pinot Noir (Santa Lucia Highlands),2016,89,Central Coast,Pinot Noir
SeaGlass 2018 Pinot Grigio (Central Coast),2018,89,Central Coast,Pinot Grigio
SeaGlass 2017 Pinot Noir (Santa Barbara County),2017,89,Central Coast,Pinot Noir
Morgan 2018 Metallico Unoaked Chardonnay (Monterey),2018,89,Central Coast,Chardonnay
Brecon Estate 2018 Albariño (Central Coast),2018,89,Central Coast,Albariño
Foxen 2017 Pinot Noir (Santa Maria Valley),2017,89,Central Coast,Pinot Noir
Las Positas 2015 Estate Reserve Cabernet Sauvignon (Livermore Valley),2015,89,Central Coast,Cabernet Sauvignon
Grassini 2016 Articondo Red (Happy Canyon of Santa Barbara),2016,89,Central Coast,Bordeaux-style Red Blend
SeaGlass 2017 Cabernet Sauvignon (Paso Robles),2017,88,Central Coast,Cabernet Sauvignon
Donati Family Vineyard 2015 Ezio Cabernet Sauvignon (Paicines),2015,88,Central Coast,Cabernet Sauvignon
Donati Family Vineyard 2016 Merlot (Paicines),2016,88,Central Coast,Merlot
Dubost 2016 Homestead Red (Paso Robles),2016,88,Central Coast,"Red Blends, Red Blends"
J. Lohr 2017 Los Osos Merlot (Paso Robles),2017,88,Central Coast,Merlot
Anglim 2015 Petite Sirah (Paso Robles Willow Creek District),2015,88,Central Coast,Petite Sirah
Derby 2014 Sparkling Pinot Noir (San Luis Obispo County),2014,88,Central Coast,Pinot Noir
Brecon Estate 2018 Last Sandwich White (Central Coast),2018,88,Central Coast,White Blend
Croma Vera 2016 Cabernet Sauvignon (Paso Robles),2016,88,Central Coast,Cabernet Sauvignon
Dante Robere 2016 Claude's Cuvée Red (Livermore Valley),2016,88,Central Coast,"Red Blends, Red Blends"
Dubost 2016 Siletto Vineyard Cabernet Pfeffer (San Benito County),2016,88,Central Coast,"Cabernet Pfeffer, Other Red"
Felten Cellars 2015 Tempranillo (Paso Robles),2015,88,Central Coast,Tempranillo
Jalama 2016 La Presa Syrah (Santa Ynez Valley),2016,88,Central Coast,Syrah
Peachy Canyon 2017 Westside Zinfandel (Paso Robles),2017,88,Central Coast,Zinfandel
Sevtap 2016 Cabernet Franc (Happy Canyon of Santa Barbara),2016,88,Central Coast,Cabernet Franc
Albatross Ridge 2017 Estate Chardonnay (Monterey),2017,88,Central Coast,Chardonnay
Four Lanterns 2016 Sardius Merlot (Templeton Gap District),2016,88,Central Coast,Merlot
Laetitia 2018 Estate Chardonnay (Arroyo Grande Valley),2018,88,Central Coast,Chardonnay
Alara 2018 Mission Ranch Vineyard Albariño (Arroyo Seco),2018,88,Central Coast,Albariño
Anglim 2017 Pinot Noir (Adelaida District),2017,88,Central Coast,Pinot Noir
Eden Rift 2018 Estate Rosé of Pinot Noir (Cienega Valley),2018,88,Central Coast,Pinot Noir
Graveyard 2016 Reserve Cabernet Sauvignon (Paso Robles),2016,88,Central Coast,Cabernet Sauvignon
Sean Minor 2018 Cabernet Sauvignon (Paso Robles),2018,88,Central Coast,Cabernet Sauvignon
Silicon Valley Wine Co. 2018 Pixelated Rosé (Central Coast),2018,88,Central Coast,Rosé
