"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"STS",-122.811,38.5037,1996,7,25,72.8461538461538,55.5384615384615,57.8153846153846,97.0833333333333,6.46461538461538,NA,29.9015384615385,NA
"STS",-122.811,38.5037,1996,7,26,63.7076923076923,53.6,71.9438461538462,146.153846153846,8.23384615384615,NA,29.8853846153846,NA
"STS",-122.811,38.5037,1996,7,27,72.1142857142857,55.1428571428571,58.6557142857143,140,4.42857142857143,NA,29.9578571428571,NA
"STS",-122.811,38.5037,1996,7,28,81.3714285714286,56.6857142857143,45.4335714285714,93.2142857142857,5,NA,29.9664285714286,NA
"STS",-122.811,38.5037,1996,7,29,81.4307692307692,55.2615384615385,44.5353846153846,68.4615384615385,4.84615384615385,NA,29.9969230769231,NA
"STS",-122.811,38.5037,1996,7,30,76.1,55.9142857142857,53.36,99.2857142857143,6.07142857142857,NA,29.9528571428571,NA
"STS",-122.811,38.5037,1996,7,31,77.6923076923077,55.6769230769231,49.9530769230769,98.5714285714286,6.85714285714286,NA,29.9061538461538,NA
"STS",-122.811,38.5037,1996,8,1,68,53.3230769230769,63.6930769230769,112.5,7.50285714285714,NA,29.9376923076923,NA
"STS",-122.811,38.5037,1996,8,2,76.7428571428571,51.2857142857143,47.1378571428571,125,5.78571428571429,NA,29.9128571428571,NA
"STS",-122.811,38.5037,1996,8,3,77.1285714285714,48.4571428571429,41.3278571428571,173.571428571429,7.85714285714286,NA,29.9071428571429,NA
"STS",-122.811,38.5037,1996,8,4,76.0307692307692,49.8615384615385,43.2,115.384615384615,5.53846153846154,NA,29.8984615384615,NA
"STS",-122.811,38.5037,1996,8,5,64.8153846153846,52.9076923076923,68.1258333333333,74.1666666666667,5.5,NA,29.93,NA
"STS",-122.811,38.5037,1996,8,6,67.1692307692308,53.4615384615385,63.0207692307692,83.0769230769231,7.07692307692308,NA,29.97,NA
"STS",-122.811,38.5037,1996,8,7,65.15,53,67.2908333333333,110,6.23076923076923,NA,29.9953846153846,NA
"STS",-122.811,38.5037,1996,8,8,69.2,54.05,63.0283333333333,97.3076923076923,5.61538461538461,NA,29.9876923076923,NA
"STS",-122.811,38.5037,1996,8,9,74.3,50.5625,52.6573333333333,122.142857142857,4.73333333333333,NA,29.938125,NA
"STS",-122.811,38.5037,1996,8,10,79.8285714285714,52.7,43.57,106.785714285714,6.42857142857143,NA,29.87,NA
"STS",-122.811,38.5037,1996,8,11,82.4,53.0857142857143,40.2971428571429,119.285714285714,5.85714285714286,NA,29.8571428571429,NA
"STS",-122.811,38.5037,1996,8,12,84.6153846153846,54.1538461538462,37.8869230769231,86.1538461538462,5.61538461538461,NA,29.8584615384615,NA
"STS",-122.811,38.5037,1996,8,13,82.85,53.9,39.9158333333333,105,6.58333333333333,NA,29.9075,NA
"STS",-122.811,38.5037,1996,8,14,75.2,52.8285714285714,49.545,107.142857142857,7.42857142857143,NA,29.965,NA
"STS",-122.811,38.5037,1996,8,15,73.5384615384615,50.9692307692308,50.7723076923077,125,7.15384615384615,NA,29.9723076923077,NA
"STS",-122.811,38.5037,1996,8,16,69.9384615384615,53.0461538461538,61.02,68.75,4.69230769230769,NA,29.9469230769231,NA
"STS",-122.811,38.5037,1996,8,17,66.4769230769231,53.7384615384615,66.0676923076923,148.461538461538,7.69230769230769,NA,29.9430769230769,NA
"STS",-122.811,38.5037,1996,8,18,69.5428571428571,50.1285714285714,53.3657142857143,80.8333333333333,4.71428571428571,NA,29.9028571428571,NA
"STS",-122.811,38.5037,1996,8,19,64.1230769230769,50.1384615384615,64.6246153846154,96.5384615384615,7.30769230769231,NA,29.96,NA
"STS",-122.811,38.5037,1996,8,20,70.55,50.9,53.8291666666667,126.363636363636,6.91666666666667,NA,30.0208333333333,NA
"STS",-122.811,38.5037,1996,8,21,74.7846153846154,52.3538461538462,49.7738461538462,106.153846153846,5.38461538461539,NA,29.98,NA
"STS",-122.811,38.5037,1996,8,22,74.3692307692308,52.4923076923077,50.6007692307692,77.5,4.38461538461539,NA,29.9030769230769,NA
"STS",-122.811,38.5037,1996,8,23,71.7285714285714,52.0571428571429,54.5335714285714,123.75,5.64285714285714,NA,29.8914285714286,NA
"STS",-122.811,38.5037,1996,8,24,65.5571428571429,51.4142857142857,64.3021428571429,109.285714285714,6.42857142857143,NA,29.9364285714286,NA
"STS",-122.811,38.5037,1996,8,25,67.3076923076923,53.3230769230769,62.7476923076923,100,5.53846153846154,NA,29.9207692307692,NA
"STS",-122.811,38.5037,1996,8,26,66.5857142857143,53.4714285714286,65.2585714285714,119.285714285714,6.21428571428571,NA,29.8535714285714,NA
"STS",-122.811,38.5037,1996,8,27,68.45,51.8,58.6433333333333,85,4.41666666666667,NA,29.8675,NA
"STS",-122.811,38.5037,1996,8,28,76.7428571428571,53.7285714285714,48.9357142857143,89.2857142857143,4.35714285714286,NA,29.9342857142857,NA
"STS",-122.811,38.5037,1996,8,29,78.8,54.1538461538462,48.5269230769231,76.0714285714286,4.42857142857143,NA,29.9376923076923,NA
"STS",-122.811,38.5037,1996,8,30,83.1714285714286,55.1428571428571,43.1492857142857,29.7142857142857,1.42857142857143,NA,29.9142857142857,NA
"STS",-122.811,38.5037,1996,8,31,77.6923076923077,54.7076923076923,48.2215384615385,78.4615384615385,4.53846153846154,NA,29.8384615384615,NA
"STS",-122.811,38.5037,1996,9,1,66.5857142857143,54.5,68.6635714285714,87.6923076923077,4.21428571428571,NA,29.79,NA
"STS",-122.811,38.5037,1996,9,2,64.0142857142857,54.2428571428571,72.7435714285714,83.0769230769231,4.28571428571429,NA,29.8371428571429,NA
"STS",-122.811,38.5037,1996,9,3,61.3142857142857,52.1857142857143,72.8307142857143,106.428571428571,5.28571428571429,NA,29.91,NA
"STS",-122.811,38.5037,1996,9,4,66.5857142857143,50.2571428571429,60.6307142857143,100,5.64285714285714,NA,29.8807142857143,NA
"STS",-122.811,38.5037,1996,9,5,70.1857142857143,46.1428571428571,47.9214285714286,90.7142857142857,3.85714285714286,NA,29.8935714285714,NA
"STS",-122.811,38.5037,1996,9,6,73.9142857142857,45.7571428571429,42.6171428571429,91.4285714285714,5.28571428571429,NA,29.855,NA
"STS",-122.811,38.5037,1996,9,7,75.2,41.8307692307692,39.1223076923077,95.3846153846154,4.23076923076923,NA,29.8953846153846,NA
"STS",-122.811,38.5037,1996,9,8,77.6923076923077,40.0307692307692,31.8669230769231,63.8461538461538,2.69230769230769,NA,29.8876923076923,NA
