"station","lon","lat","year(valid)","month(valid)","day(valid)","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp"
"OAK",-122.2207,37.7213,1989,1,1,39.88625,36.19625,87.3925,77.5,2.5625,NA,30.105,NA
"OAK",-122.2207,37.7213,1989,1,2,42.515,36.62,79.8795833333333,112.083333333333,3.41666666666667,NA,30.1204166666667,NA
"OAK",-122.2207,37.7213,1989,1,3,45.1625,39.62,81.1479166666667,117.916666666667,6.08333333333333,NA,30.1516666666667,NA
"OAK",-122.2207,37.7213,1989,1,4,44.2460869565217,39.295652173913,83.4991304347826,149.545454545455,4.65217391304348,NA,30.044347826087,NA
"OAK",-122.2207,37.7213,1989,1,5,47.8983333333333,44.2558333333333,87.4208333333333,230.208333333333,9.58333333333333,NA,30.0330434782609,NA
"OAK",-122.2207,37.7213,1989,1,6,42.785,35.6675,76.0420833333333,204.166666666667,6.75,NA,30.2333333333333,NA
"OAK",-122.2207,37.7213,1989,1,7,43.925,39.89,86.4616666666667,220,7.16,NA,30.2556,NA
"OAK",-122.2207,37.7213,1989,1,8,41.1958333333333,36.7916666666667,84.9191666666667,83.4782608695652,3.96166666666667,NA,30.4483333333333,NA
"OAK",-122.2207,37.7213,1989,1,9,46.9325,44.2475,90.6904166666667,122.692307692308,5.69230769230769,NA,30.4719230769231,NA
"OAK",-122.2207,37.7213,1989,1,10,48.4025,46.475,93.4525,175.769230769231,6.07692307692308,NA,30.3330769230769,NA
"OAK",-122.2207,37.7213,1989,1,11,48.9609090909091,34.7654545454545,59.6536363636364,323.478260869565,12.5,NA,30.3569565217391,NA
"OAK",-122.2207,37.7213,1989,1,12,48.9904347826087,31.2486956521739,51.8869565217391,146.95652173913,6.17391304347826,NA,30.4578260869565,NA
"OAK",-122.2207,37.7213,1989,1,13,43.2725,36.2375,76.8545833333333,145.833333333333,5,NA,30.3616666666667,NA
"OAK",-122.2207,37.7213,1989,1,14,43.8063636363636,37.6863636363636,80.4222727272727,284.782608695652,7.04521739130435,NA,30.3591304347826,NA
"OAK",-122.2207,37.7213,1989,1,15,41.915,37.5425,85.03875,171.25,4.79166666666667,NA,30.4395833333333,NA
"OAK",-122.2207,37.7213,1989,1,16,44.8625,39.6425,82.4525,131.25,4.20833333333333,NA,30.42,NA
"OAK",-122.2207,37.7213,1989,1,17,44.4725,43.0608333333333,95.3345833333333,155.192307692308,4.54,NA,30.3357692307692,NA
"OAK",-122.2207,37.7213,1989,1,18,48.8545454545455,43.1518181818182,83.6963636363636,180,4.95454545454545,NA,30.2504545454545,NA
"OAK",-122.2207,37.7213,1989,1,19,50.5475,42.9875,76.0804166666667,175,5.125,NA,30.14375,NA
"OAK",-122.2207,37.7213,1989,1,20,50.3933333333333,43.6691666666667,79.3179166666667,90.8695652173913,2.4832,NA,30.0952,NA
"OAK",-122.2207,37.7213,1989,1,21,49.1525,45.005,86.14375,92.5,2.33333333333333,NA,30.0520833333333,NA
"OAK",-122.2207,37.7213,1989,1,22,47.5533333333333,46.2276190476191,95.3628571428571,233.611111111111,4.81904761904762,NA,29.9795238095238,NA
"OAK",-122.2207,37.7213,1989,1,23,47.6342857142857,45.2857142857143,91.8028571428571,102.727272727273,7.72727272727273,NA,29.8628571428571,NA
"OAK",-122.2207,37.7213,1989,1,24,47.2139130434783,42.3617391304348,84.8326086956522,213.75,5.875,NA,30.05,NA
"OAK",-122.2207,37.7213,1989,1,25,50.9409090909091,36.8027272727273,60.8854545454545,213.636363636364,7.22727272727273,NA,30.1140909090909,NA
"OAK",-122.2207,37.7213,1989,1,26,50.704347826087,35.7252173913043,58.4652173913043,162.173913043478,6.73913043478261,NA,30.1604347826087,NA
"OAK",-122.2207,37.7213,1989,1,27,46.7625,35.78,67.45,174.62962962963,4.07555555555556,NA,30.1792592592593,NA
"OAK",-122.2207,37.7213,1989,1,28,47.9886956521739,44.1382608695652,86.8665217391304,165.416666666667,4,NA,30.225,NA
"OAK",-122.2207,37.7213,1989,1,29,47.0182608695652,44.1460869565217,90.8130434782609,184.166666666667,6.125,NA,30.1683333333333,NA
"OAK",-122.2207,37.7213,1989,1,30,50.6863636363636,42.8109090909091,75.3018181818182,178.75,3.86363636363636,NA,30.1695454545455,NA
"OAK",-122.2207,37.7213,1989,1,31,49.7975,45.0525,84.5208333333333,274.545454545455,4.56592592592593,NA,30.0518518518519,NA
"OAK",-122.2207,37.7213,1989,2,1,48.79625,43.19375,81.125625,258.125,10.6875,NA,29.963125,NA
"OAK",-122.2207,37.7213,1989,2,2,44.1617391304348,37.8617391304348,78.6721739130435,212.916666666667,8.04166666666667,NA,30.065,NA
"OAK",-122.2207,37.7213,1989,2,3,45.484347826087,40.6634782608696,83.4121739130435,213.541666666667,8.66666666666667,NA,30.0945833333333,NA
"OAK",-122.2207,37.7213,1989,2,4,42.3852173913043,34.864347826087,75.7847826086957,260,8.26086956521739,NA,30.0495652173913,NA
"OAK",-122.2207,37.7213,1989,2,5,37.76,21.515,53.2066666666667,94.1666666666667,8.04166666666667,NA,30.1654166666667,1021.2
"OAK",-122.2207,37.7213,1989,2,6,37.235,12.695,36.2870833333333,102.083333333333,9.95833333333333,NA,30.2608333333333,NA
"OAK",-122.2207,37.7213,1989,2,7,38.8625,17.96,43.31125,52.5,9,NA,30.255,NA
"OAK",-122.2207,37.7213,1989,2,8,40.1975,19.9925,44.9420833333333,74,9.6,NA,30.1608,NA
"OAK",-122.2207,37.7213,1989,2,9,41.78,39.455,91.5141666666667,96.4,7.8,NA,30.1376,NA
"OAK",-122.2207,37.7213,1989,2,10,43.22,40.415,90.0666666666667,109.6,4.88,NA,30.364,NA
"OAK",-122.2207,37.7213,1989,2,11,42.8225,39.7025,89.2545833333333,190.37037037037,3.33333333333333,NA,30.4014814814815,NA
"OAK",-122.2207,37.7213,1989,2,12,46.1,43.4225,90.8308333333333,149.583333333333,3.875,NA,30.2641666666667,NA
"OAK",-122.2207,37.7213,1989,2,13,46.715,39.7475,77.5479166666667,207.5,6.29166666666667,NA,30.0979166666667,NA
"OAK",-122.2207,37.7213,1989,2,14,46.6191304347826,39.4817391304348,77.1813043478261,188.695652173913,6.65217391304348,NA,30.0917391304348,NA
"OAK",-122.2207,37.7213,1989,2,15,46.4225,40.8575,81.80875,192.5,5.375,NA,30.2425,NA
"OAK",-122.2207,37.7213,1989,2,16,49.2113043478261,44.0634782608696,82.5960869565217,202.619047619048,3.87478260869565,NA,30.3452173913043,NA
"OAK",-122.2207,37.7213,1989,2,17,49.2173913043478,45.2078260869565,86.085,133.695652173913,3.08869565217391,NA,30.2891666666667,NA
"OAK",-122.2207,37.7213,1989,2,18,50.1095652173913,45.9460869565217,85.6647826086956,194.615384615385,10.8861538461538,NA,30.0953846153846,NA
"OAK",-122.2207,37.7213,1989,2,19,52.6858333333333,49.3775,89.2391666666667,186.071428571429,6.53571428571429,NA,30.0417857142857,NA
"OAK",-122.2207,37.7213,1989,2,20,51.3382608695652,46.9478260869565,85.1308695652174,156.8,4.2016,NA,30.1792,NA
"OAK",-122.2207,37.7213,1989,2,21,54.05,48.9527272727273,83.8586363636364,177.727272727273,4.04545454545455,NA,30.2419047619048,NA
"OAK",-122.2207,37.7213,1989,2,22,57.1775,49.7075,78.195,182.916666666667,4.79166666666667,NA,30.22,NA
"OAK",-122.2207,37.7213,1989,2,23,50.3375,46.04,85.8425,172.5,5.04166666666667,NA,30.2041666666667,NA
"OAK",-122.2207,37.7213,1989,2,24,49.6175,45.1775,84.9666666666667,172.083333333333,4.16666666666667,NA,30.1183333333333,NA
"OAK",-122.2207,37.7213,1989,2,25,51.2825,43.6175,75.3825,202.083333333333,5.41666666666667,NA,30.1654166666667,NA
